id,menu_id,title,url,target,icon_class,color,parent_id,order,created_at,updated_at,route,parameters
6,1,Menu Builder,,_self,voyager-list,,5,1,2021-06-20 15:47:38,2021-06-20 16:01:02,voyager.menus.index,
7,1,Database,,_self,voyager-data,,5,2,2021-06-20 15:47:38,2021-06-20 16:01:02,voyager.database.index,
8,1,Compass,,_self,voyager-compass,,5,3,2021-06-20 15:47:38,2021-06-20 16:01:03,voyager.compass.index,
9,1,BREAD,,_self,voyager-bread,,5,4,2021-06-20 15:47:38,2021-06-20 16:01:03,voyager.bread.index,
11,1,Hooks,,_self,voyager-hook,,5,5,2021-06-20 15:47:39,2021-06-20 16:01:03,voyager.hooks,
13,1,Results Editor,/quiz-panel/admin/results-editor,_self,voyager-trophy,#ffffff,,2,2021-06-20 16:00:55,2021-06-20 16:01:06,,
12,1,Quiz Editor,/quiz-panel/admin/quiz-editor,_self,voyager-controller,#ffffff,,1,2021-06-20 15:59:45,2021-06-20 16:01:24,,
3,1,Users,,_self,voyager-person,,,7,2021-06-20 15:47:38,2021-06-20 16:02:47,voyager.users.index,
2,1,Media,,_self,voyager-images,,,8,2021-06-20 15:47:38,2021-06-20 16:02:47,voyager.media.index,
5,1,Tools,,_self,voyager-tools,,,9,2021-06-20 15:47:38,2021-06-20 16:02:47,,
10,1,Settings,,_self,voyager-settings,,,10,2021-06-20 15:47:38,2021-06-20 16:02:47,voyager.settings.index,
14,1,Import,/quiz-panel/admin/quiz-editor/import,_self,voyager-upload,#ffffff,,3,2021-06-20 16:02:18,2021-06-20 16:02:51,,
15,1,Export,/quiz-panel/admin/quiz-editor/export,_self,voyager-download,#ffffff,,4,2021-06-20 16:02:43,2021-06-20 16:02:51,,
1,1,Dashboard,,_self,voyager-boat,,,5,2021-06-20 15:47:38,2021-06-20 16:02:51,voyager.dashboard,
4,1,Roles,,_self,voyager-lock,,,6,2021-06-20 15:47:38,2021-06-20 16:02:51,voyager.roles.index,